ID,FISCAL_YEAR,Giving
102,2012,$75
102,2013,$5
103,2012,$10
104,2013,$75
104,2014,$1
106,2013,"$1,700"
106,2014,"$1,000"
107,2012,$200
107,2013,$162
108,2016,$26
109,2013,$300
109,2015,$1
110,2013,$10
110,2014,$250
110,2015,$300
111,2012,$150
111,2014,$555
111,2015,$300
111,2016,$461
112,2014,$120
113,2012,$200
113,2016,$50
114,2014,$250
114,2016,$500
115,2014,$1
115,2015,$550
115,2016,$100
116,2014,$1
116,2015,$400
116,2016,$760
118,2013,$5
118,2014,$250
118,2016,"$3,283"
119,2013,$100
119,2014,$1
119,2015,$1
120,2014,$225
121,2012,$50
123,2013,$150
124,2012,$51
124,2014,$355
124,2016,$500
125,2013,$500
125,2014,$120
125,2015,$100
125,2016,$971
127,2015,$1
127,2016,"$3,125"
128,2014,$152
128,2015,$300
128,2016,$50
129,2012,$200
129,2013,$50
129,2014,$200
129,2015,$500
130,2012,$520
131,2012,$930
131,2013,$200
132,2013,$100
132,2014,"$2,000"
132,2015,"$4,500"
133,2012,$100
133,2013,$25
133,2015,$505
133,2016,$310
134,2013,$880
134,2015,"$4,100"
135,2012,$670
135,2013,$800
135,2014,$880
135,2015,$350
135,2016,$850
136,2013,"$1,700"
136,2014,$25
136,2016,$900
137,2012,$151
137,2013,"$1,480"
137,2014,$930
137,2016,$1
138,2012,"$1,500"
138,2013,$55
139,2012,$100
139,2013,$155
139,2014,$200
139,2015,$125
140,2012,"$2,000"
140,2015,$300
140,2016,$5
141,2016,"$4,500"
142,2014,$25
142,2015,$100
143,2012,$100
143,2013,$300
143,2015,$150
144,2012,$1
144,2016,$280
145,2013,$50
145,2015,$400
145,2016,"$5,210"
148,2012,$50
148,2013,"$2,530"
149,2016,$25
151,2013,"$5,060"
151,2015,$400
152,2012,"$1,505"
152,2013,$35
152,2014,$50
152,2015,$225
153,2013,$250
153,2014,$50
153,2015,$250
154,2012,$170
155,2013,$200
155,2015,$200
155,2016,$25
156,2014,$75
157,2012,"$50,000"
157,2013,$200
157,2014,"$81,103"
158,2012,$25
158,2014,$75
159,2013,"$3,300"
159,2014,"$11,125"
160,2012,$25
160,2013,$25
161,2012,$100
161,2013,"$2,500"
161,2015,"$2,500"
161,2016,"$22,500"
162,2012,$200
162,2014,$400
162,2015,$100
163,2012,$75
163,2013,$125
164,2012,"$1,869"
166,2013,"$1,890"
167,2012,$50
168,2012,$35
168,2013,$300
168,2014,$200
168,2016,$400
170,2012,$250
170,2014,$288
171,2014,"$1,600"
172,2015,$550
172,2016,$750
173,2015,$500
173,2016,"$1,550"
174,2014,$200
175,2012,$25
175,2014,"$1,500"
175,2015,$200
175,2016,$250
176,2012,$50
176,2014,$50
177,2012,$10
178,2012,$70
178,2013,$488
178,2014,$100
178,2016,$125
179,2015,$50
179,2016,$50
181,2016,"$7,777"
182,2012,$130
182,2016,$1
183,2012,$727
183,2013,$50
183,2016,$120
184,2012,$365
184,2013,$120
185,2012,$25
186,2012,$100
187,2015,$110
187,2016,$25
189,2014,$50
189,2016,$100
190,2014,$501
191,2013,"$1,005"
191,2014,$1
192,2012,$100
192,2015,"$2,000"
193,2014,$501
194,2012,$1
194,2013,$1
194,2014,$36
194,2015,$100
194,2016,"$3,750"
195,2012,$31
195,2014,$75
195,2016,$301
196,2012,$5
197,2012,$50
197,2013,$230
197,2014,"$2,559"
197,2015,"$1,005"
198,2013,$120
198,2014,"$3,100"
198,2016,$150
199,2012,"$3,750"
199,2013,$1
199,2014,"$1,045"
199,2016,$25
200,2012,$465
200,2013,$1
200,2016,$600
202,2012,$25
202,2014,$106
203,2012,$1
203,2014,$150
203,2015,"$3,000"
204,2014,"$2,130"
204,2015,$500
205,2015,$25
205,2016,$895
206,2015,$150
206,2016,$50
207,2012,$50
207,2013,"$1,055"
207,2014,$101
207,2015,$61
208,2012,$125
209,2012,$50
209,2014,$100
209,2015,"$2,040"
209,2016,"$3,000"
210,2012,$50
210,2013,"$3,205"
210,2014,$25
210,2016,$50
211,2016,$595
212,2013,$25
212,2014,$120
212,2015,$75
213,2014,$50
214,2013,"$3,050"
214,2014,$800
214,2016,$50
215,2012,$100
215,2013,"$1,000"
215,2014,$245
217,2012,$150
217,2016,$301
218,2014,$50
220,2012,$100
220,2016,$25
221,2012,$60
221,2013,$60
221,2014,$35
221,2015,$125
222,2015,"$1,080"
222,2016,$300
223,2012,$60
223,2013,$150
224,2012,"$1,000"
224,2013,"$9,438"
224,2015,"$6,500"
226,2012,$100
226,2013,$100
226,2014,$25
226,2015,$100
226,2016,$250
227,2015,$50
227,2016,$50
228,2012,$75
228,2015,$225
228,2016,$200
229,2016,$200
231,2012,$100
231,2015,$100
233,2015,$75
233,2016,"$93,089"
234,2012,$260
234,2014,$335
234,2015,$915
234,2016,$265
235,2015,"$3,275"
235,2016,$40
236,2012,"$5,000"
236,2013,$500
237,2012,$435
237,2013,$400
238,2012,$360
238,2013,"$4,872"
239,2012,$55
239,2016,$100
240,2012,$200
241,2012,"$6,580"
241,2013,$980
241,2014,$25
242,2013,$395
243,2012,$100
243,2014,"$3,000"
245,2012,$25
245,2013,$300
245,2014,$650
245,2016,"$1,200"
246,2012,$50
246,2013,$320
247,2012,"$1,052"
247,2014,$50
247,2016,$50
248,2012,$25
249,2014,"$2,455"
249,2015,$250
249,2016,"$3,050"
250,2013,$380
250,2014,$50
252,2013,"$6,265"
252,2015,"$11,150"
253,2012,"$2,000"
253,2016,$25
254,2013,"$2,000"
254,2016,"$1,000"
255,2012,$200
255,2014,$50
255,2015,"$3,000"
255,2016,$50
256,2013,$672
256,2014,"$1,425"
256,2016,"$1,000"
257,2013,"$1,330"
257,2015,"$1,000"
258,2013,$700
259,2014,$100
259,2015,$50
259,2016,$25
261,2016,$200
262,2015,"$11,150"
264,2012,$508
264,2014,$505
266,2016,$215
267,2012,$102
267,2014,$525
267,2016,$425
268,2012,$70
269,2012,$300
269,2013,$25
269,2016,$100
270,2013,$250
270,2015,$20
271,2013,$165
271,2015,$420
271,2016,$520
272,2012,$480
272,2013,$250
272,2014,$45
272,2015,$1
272,2016,$1
273,2012,$20
273,2015,$480
273,2016,$50
274,2013,$620
274,2014,$20
274,2016,$250
275,2013,$482
275,2015,$20
276,2012,$20
276,2013,$325
276,2014,$405
276,2016,$300
277,2012,$200
277,2013,$1
277,2015,$215
278,2012,$200
278,2014,$300
278,2016,$300
279,2012,$425
279,2015,$400
281,2012,$20
281,2013,$300
282,2013,$20
282,2015,$20
283,2015,$300
284,2014,"$1,000"
284,2015,$200
285,2015,$1
285,2016,$2
286,2013,$38
286,2014,$250
286,2015,$5
287,2013,$105
287,2014,$500
288,2014,$150
289,2016,$38
290,2015,$20
291,2012,$100
291,2016,$500
292,2013,$100
293,2012,"$5,500"
293,2014,"$27,500"
293,2015,"$5,500"
293,2016,"$5,500"
294,2014,$120
294,2015,$549
294,2016,$500
295,2013,$250
295,2014,"$1,000"
295,2016,$144
296,2013,"$10,030"
296,2014,$116
296,2016,$266
297,2012,$1
297,2013,$50
297,2015,$50
298,2015,$35
298,2016,"$3,250"
299,2012,$90
299,2013,$100
300,2012,$50
300,2013,$235
300,2014,$45
300,2016,$400
302,2014,$370
302,2016,"$3,001"
303,2015,$485
304,2012,$144
304,2013,$45
304,2015,$550
304,2016,$200
306,2012,$200
306,2015,$500
307,2012,$230
307,2013,$464
307,2014,$455
307,2016,$639
308,2013,$175
308,2016,$120
309,2014,$40
310,2014,$500
310,2016,$60
311,2013,"$1,116"
311,2015,$260
311,2016,$100
312,2013,$100
312,2014,$80
313,2012,"$1,145"
313,2015,$140
313,2016,"$3,600"
315,2014,$1
316,2013,$200
316,2014,$225
316,2016,$489
317,2012,$50
317,2013,$200
317,2014,"$1,800"
317,2016,"$10,101"
318,2013,$100
318,2014,$485
318,2015,"$3,210"
318,2016,$250
319,2013,$300
320,2013,$144
320,2014,$170
320,2015,$200
321,2012,$50
321,2013,"$3,100"
322,2013,$80
322,2015,$200
322,2016,$70
323,2012,$100
323,2013,$244
323,2015,$145
324,2015,$144
324,2016,$40
325,2012,$400
325,2015,$180
325,2016,$80
327,2012,"$1,550"
327,2013,$60
327,2014,$175
327,2015,"$2,250"
328,2012,$50
329,2013,$250
330,2015,"$3,045"
331,2015,$100
332,2012,$288
332,2013,$570
332,2014,$100
333,2012,$405
333,2014,$250
334,2012,$130
334,2013,$369
335,2012,$202
337,2015,$100
338,2014,"$3,575"
339,2012,$121
339,2013,"$1,630"
339,2014,$385
339,2016,"$1,001"
340,2015,"$2,200"
341,2015,$25
342,2012,$175
342,2013,$25
342,2015,"$3,080"
343,2014,$285
343,2015,$270
343,2016,$150
344,2012,"$2,300"
344,2013,"$2,200"
344,2014,"$3,144"
344,2015,$150
344,2016,$400
346,2015,$250
348,2012,$400
348,2015,$1
349,2012,$50
349,2014,$180
349,2015,$50
349,2016,$120
350,2013,$240
350,2014,$500
350,2016,$300
351,2014,$600
353,2012,$100
353,2016,$40
355,2014,$144
355,2015,$200
355,2016,$585
356,2012,"$3,250"
357,2012,$50
358,2012,$100
358,2013,$200
358,2014,$50
358,2016,$100
359,2012,$25
359,2013,$50
359,2014,$50
360,2014,$22
361,2012,$100
362,2012,$380
362,2013,$400
362,2014,$150
362,2016,$50
363,2014,$1
364,2013,$50
366,2015,$26
366,2016,$261
367,2013,$285
367,2014,$550
367,2016,"$3,100"
368,2014,$180
369,2012,$100
369,2015,$150
369,2016,$600
370,2012,$100
370,2013,$100
370,2014,$250
371,2012,$410
371,2013,$50
371,2014,$150
371,2015,$489
372,2015,$150
372,2016,"$1,000"
373,2012,$50
373,2013,$90
373,2014,$100
373,2015,$529
373,2016,$251
374,2012,$225
375,2012,$270
375,2014,$100
375,2015,$50
375,2016,"$3,000"
376,2012,$52
376,2013,"$3,100"
376,2014,"$3,300"
376,2015,$285
377,2016,$1
378,2013,$600
378,2014,$215
378,2015,$100
379,2016,$350
381,2013,"$3,700"
381,2014,"$7,400"
381,2015,"$12,300"
382,2014,$100
382,2016,$150
383,2013,$50
383,2015,$40
384,2014,$125
384,2016,$150
385,2013,$100
385,2015,$25
387,2014,$279
387,2016,$295
388,2014,$30
388,2015,$525
388,2016,$20
389,2014,$25
390,2013,"$1,250"
390,2015,$25
390,2016,$20
391,2012,"$1,777"
392,2012,$60
392,2013,$76
393,2012,$500
393,2014,$65
395,2012,$50
396,2012,$1
397,2012,$150
397,2013,"$1,250"
397,2015,$50
398,2012,$40
398,2013,$450
398,2014,$50
398,2015,$65
398,2016,$115
399,2016,$1
401,2014,$60
402,2016,$285
403,2012,"$25,250"
403,2013,$535
403,2014,$535
403,2016,$285
404,2016,"$6,840"
406,2012,$500
406,2013,$225
406,2014,"$3,200"
406,2015,$290
406,2016,"$9,320"
407,2014,$630
408,2012,"$3,300"
409,2012,$320
409,2013,$2
409,2015,$616
410,2014,$75
412,2014,"$6,525"
412,2015,$300
412,2016,"$3,440"
413,2012,$100
414,2013,$200
414,2014,"$6,700"
414,2015,"$1,826"
415,2016,$101
417,2012,$200
417,2015,"$3,520"
418,2012,$210
418,2014,$250
418,2015,$1
421,2012,$50
421,2016,$1
422,2013,"$3,320"
422,2014,"$3,320"
422,2016,$15
423,2012,$5
423,2015,$370
424,2012,$25
424,2015,$400
424,2016,$1
425,2015,$100
425,2016,$25
426,2014,$210
427,2012,$30
428,2012,$200
428,2014,"$3,326"
428,2016,$430
429,2013,"$3,090"
430,2012,$2
430,2013,$665
430,2014,"$5,030"
430,2015,$30
430,2016,$25
431,2012,"$3,280"
431,2013,$100
431,2014,"$1,030"
431,2015,$350
432,2013,"$3,100"
432,2015,$110
433,2014,$100
434,2013,$1
434,2015,$100
435,2013,"$3,090"
435,2014,$650
435,2016,$251
436,2013,$350
437,2012,$325
437,2013,"$3,100"
437,2015,"$3,065"
437,2016,$51
438,2012,"$1,100"
438,2014,$200
438,2015,$25
440,2012,$200
440,2016,$100
442,2013,$200
442,2015,$93
443,2012,"$5,500"
443,2013,$380
443,2014,$130
443,2015,"$5,500"
443,2016,"$11,500"
444,2015,"$5,170"
445,2015,$200
446,2013,"$6,300"
446,2014,"$1,200"
447,2013,$15
447,2015,$8
448,2012,$260
448,2013,$249
448,2015,$176
449,2012,$710
450,2013,$144
450,2015,$50
452,2012,"$5,500"
452,2014,$190
452,2015,$105
454,2016,$60
455,2012,"$1,386"
455,2013,$50
455,2014,$55
455,2015,$176
456,2012,$36
457,2012,$20
457,2015,$325
457,2016,$250
460,2016,$544
461,2016,$160
462,2015,$120
463,2012,$175
463,2013,"$1,034"
463,2015,$125
464,2015,$100
465,2014,$20
466,2012,$238
466,2013,$155
467,2012,$725
467,2013,$735
467,2014,$239
467,2015,$261
470,2012,$505
470,2013,$1
470,2015,$610
471,2012,$500
471,2013,$578
471,2014,$300
471,2015,$190
472,2012,$420
472,2013,$230
472,2015,$50
472,2016,$530
473,2012,$40
473,2013,$5
474,2012,$500
474,2015,$75
475,2013,$75
476,2013,$60
476,2016,$20
477,2014,$50
477,2016,$120
478,2012,$129
478,2013,$50
478,2015,$75
479,2012,$640
479,2016,$50
481,2013,$1
482,2012,"$1,002"
482,2013,$650
482,2014,$8
482,2015,$150
482,2016,$200
483,2015,$100
484,2012,$100
484,2016,$100
485,2012,$180
485,2014,$1
485,2015,$170
486,2012,$135
486,2013,$150
486,2015,$25
487,2012,$105
488,2012,$275
488,2015,$300
489,2012,$40
489,2014,$60
489,2016,$138
490,2012,$104
490,2014,$5
491,2013,"$20,704"
492,2012,"$1,000"
493,2016,"$2,000"
494,2012,$90
494,2013,$100
495,2012,$260
495,2013,"$1,234"
496,2016,$100
497,2012,"$1,350"
497,2013,$300
498,2012,$100
498,2013,"$1,760"
498,2015,$20
498,2016,$138
499,2015,$200
500,2012,$25
500,2013,$150
500,2014,"$1,000"
500,2016,$840
501,2013,$245
502,2013,"$1,500"
502,2014,$850
503,2013,$150
504,2012,"$1,000"
504,2014,"$3,123"
504,2015,$100
504,2016,"$1,470"
505,2013,$200
505,2014,$175
505,2015,$200
505,2016,"$1,000"
506,2012,"$8,600"
506,2014,"$8,600"
507,2012,$135
507,2013,$50
507,2014,$465
508,2012,$120
508,2014,"$2,800"
508,2015,"$1,700"
509,2012,$25
509,2013,$144
511,2015,"$2,820"
512,2014,"$5,550"
512,2015,"$3,500"
513,2012,"$3,040"
513,2016,$255
514,2012,$144
514,2014,$25
514,2016,$75
515,2012,$60
515,2013,$190
515,2014,"$3,000"
515,2015,$5
516,2012,$250
517,2013,$40
518,2012,$132
519,2012,$75
520,2012,$6
520,2013,"$3,500"
521,2012,$430
522,2012,"$3,500"
522,2013,$30
522,2014,"$4,120"
522,2015,$235
522,2016,$1
523,2013,$101
523,2015,$120
523,2016,$91
524,2012,$120
524,2013,$110
524,2014,"$3,500"
524,2016,$661
527,2013,$160
527,2015,$40
527,2016,$120
528,2015,$40
529,2015,$250
529,2016,$501
530,2012,"$1,800"
530,2013,$250
530,2014,$555
530,2016,"$3,000"
531,2014,$120
533,2013,$150
534,2012,"$3,644"
534,2013,$160
534,2014,$241
534,2015,"$4,000"
534,2016,$250
535,2012,$5
535,2014,$40
535,2016,$501
536,2012,"$3,625"
536,2016,$40
537,2016,$551
538,2013,"$2,850"
539,2013,$150
539,2014,$100
539,2015,$1
539,2016,$165
540,2013,"$4,250"
540,2016,"$14,992"
541,2012,"$2,500"
541,2014,"$12,242"
541,2016,"$19,342"
544,2012,"$2,855"
545,2012,"$2,500"
545,2015,$50
545,2016,"$1,667"
546,2012,$346
546,2014,"$2,491"
546,2015,$285
546,2016,"$2,563"
547,2012,$100
547,2016,$63
550,2015,"$2,500"
551,2013,"$1,667"
551,2014,"$2,650"
551,2016,$50
552,2012,$100
552,2013,$100
552,2014,$100
552,2016,"$50,000"
553,2014,"$50,200"
553,2015,"$25,000"
554,2012,$50
554,2013,"$1,601"
554,2014,$235
554,2016,$91
555,2015,"$1,000"
555,2016,$80
557,2012,$101
557,2013,"$3,160"
557,2014,$100
557,2016,$200
558,2013,$100
559,2014,$120
559,2015,$90
560,2014,"$1,251"
560,2015,$100
560,2016,$40
562,2013,$20
562,2014,$100
562,2015,"$1,250"
562,2016,$90
563,2012,"$1,000"
563,2014,$100
564,2014,$100
565,2012,$100
565,2013,"$1,091"
565,2014,$250
565,2016,$100
566,2012,"$1,110"
567,2012,$1
568,2013,$220
568,2016,$250
569,2015,$80
570,2014,$205
570,2015,$90
570,2016,"$1,000"
571,2012,$80
571,2014,$120
571,2016,$300
573,2012,"$3,160"
573,2014,$1
573,2016,"$9,370"
574,2014,"$1,330"
574,2015,"$1,250"
575,2013,"$17,800"
575,2014,"$18,400"
575,2015,"$9,200"
575,2016,"$33,600"
576,2013,$85
576,2014,$125
576,2016,$150
577,2013,$40
579,2013,$50
580,2013,$100
581,2016,$40
582,2012,"$10,775"
582,2013,"$10,450"
582,2015,"$5,000"
582,2016,"$5,450"
583,2012,$500
583,2013,"$7,475"
583,2015,"$4,675"
583,2016,"$9,800"
584,2012,$30
584,2013,$30
584,2014,$50
584,2015,$30
585,2012,$50
585,2014,$50
586,2013,$100
586,2014,$125
586,2015,"$10,000"
586,2016,"$10,080"
587,2013,"$15,080"
587,2014,"$15,125"
587,2016,"$15,000"
588,2012,"$4,050"
588,2013,"$1,140"
588,2014,$80
589,2012,$860
589,2014,$435
590,2013,"$2,795"
590,2014,"$1,180"
590,2015,$50
590,2016,$280
591,2012,"$5,555"
591,2013,$130
591,2014,$75
591,2015,"$1,180"
591,2016,"$4,075"
592,2014,"$17,100"
592,2015,"$37,100"
595,2014,$150
595,2016,$25
596,2012,"$2,500"
597,2016,$650
599,2012,"$130,000"
599,2014,"$32,500"
599,2015,"$35,000"
599,2016,"$2,500"
600,2012,"$3,200"
600,2013,"$9,100"
600,2014,"$1,500"
600,2016,"$31,746"
601,2012,"$7,135"
601,2013,$200
601,2014,"$6,000"
601,2015,"$17,325"
602,2012,"$3,200"
602,2013,"$3,000"
602,2015,"$33,050"
602,2016,"$3,200"
603,2014,$160
603,2016,$100
604,2012,$280
604,2013,$250
607,2012,$100
607,2013,$120
609,2015,"$1,390"
609,2016,$550
615,2012,$310
615,2013,$125
616,2015,"$3,000"
617,2014,$170
617,2015,$245
617,2016,"$1,871"
619,2013,$130
621,2012,$200
622,2012,$5
622,2014,$140
623,2012,$50
623,2013,$495
623,2015,$350
623,2016,"$3,000"
624,2013,$20
624,2014,$75
625,2012,$270
625,2014,$45
625,2015,$200
626,2012,$0
626,2013,$175
627,2013,$5
627,2015,$30
628,2012,"$3,660"
628,2014,$175
628,2015,$25
629,2012,$20
629,2014,$150
630,2012,$100
630,2013,$310
630,2014,$250
631,2012,$250
631,2013,$250
631,2015,$650
631,2016,"$1,000"
632,2012,$405
632,2013,$20
632,2014,$145
632,2015,$400
633,2012,$20
633,2013,$100
633,2015,$220
633,2016,$130
634,2012,"$1,410"
634,2013,$650
634,2014,$50
634,2015,"$1,470"
635,2014,$120
635,2015,"$3,000"
636,2016,$100
637,2015,$200
638,2012,$160
638,2013,$10
638,2016,$146
639,2013,$50
640,2012,$100
640,2013,$30
641,2012,"$1,100"
641,2013,$25
642,2012,$25
642,2014,$100
642,2015,$120
642,2016,$370
643,2012,$250
643,2015,$101
643,2016,$370
645,2012,$140
645,2013,$320
646,2012,$100
647,2012,$25
647,2013,"$1,755"
648,2013,$100
648,2014,"$1,100"
648,2015,$130
648,2016,$150
649,2014,$320
649,2015,$30
650,2012,"$2,605"
650,2013,$200
650,2014,$300
650,2016,$145
651,2012,$151
651,2014,$345
652,2012,$200
652,2014,$20
652,2015,"$1,170"
653,2015,$50
655,2012,$150
655,2013,$70
655,2014,"$2,330"
656,2013,$310
657,2012,"$3,525"
657,2014,"$1,000"
657,2015,$50
658,2012,$50
658,2013,"$1,000"
658,2014,$300
658,2016,$100
659,2016,$150
660,2013,$50
661,2012,$150
662,2012,$650
663,2012,$25
664,2013,"$1,410"
664,2014,$250
665,2013,$0
666,2013,$200
667,2014,$185
667,2015,$140
668,2013,"$1,700"
669,2013,$1
669,2014,$514
669,2015,$20
670,2012,$280
670,2015,$130
670,2016,$25
674,2014,$280
675,2012,$30
675,2015,$1
676,2013,$483
676,2014,"$1,930"
676,2015,$25
676,2016,$100
677,2014,$10
677,2016,"$1,200"
678,2014,"$1,775"
678,2015,$20
678,2016,"$3,000"
679,2012,"$2,500"
679,2016,"$1,514"
680,2015,$100
681,2013,$306
683,2013,$120
683,2014,$220
683,2015,$100
684,2013,$150
684,2015,$50
685,2016,$30
686,2013,$300
687,2012,$200
687,2013,$25
687,2014,$231
689,2015,$225
690,2014,$40
690,2016,$5
691,2013,"$1,270"
691,2015,$140
692,2012,"$2,410"
692,2016,$150
693,2012,$200
693,2013,$400
694,2014,$50
695,2012,$33
695,2013,$150
695,2014,"$1,150"
695,2015,$100
695,2016,$100
696,2013,$33
696,2015,$120
697,2012,$500
697,2015,$100
698,2012,$865
698,2013,$125
698,2014,$345
698,2016,$20
699,2013,$60
700,2012,"$3,080"
700,2015,$180
701,2013,"$10,700"
702,2013,$100
703,2012,$100
703,2014,$50
703,2015,$50
704,2016,$505
705,2012,$40
706,2012,"$5,125"
706,2014,"$35,625"
706,2015,"$10,700"
707,2015,$40
707,2016,$70
708,2014,$150
708,2016,$500
709,2013,$20
709,2016,$80
712,2015,$120
712,2016,$80
713,2012,$190
713,2013,$260
713,2016,$80
714,2012,$20
714,2013,$20
714,2014,$20
715,2013,$80
715,2014,$30
715,2015,$80
715,2016,$80
716,2012,$130
716,2013,$230
716,2014,$120
716,2015,$270
716,2016,$20
717,2012,"$8,105"
717,2013,"$10,270"
717,2014,"$4,040"
717,2016,"$10,400"
718,2013,$180
718,2015,$250
719,2012,$315
719,2015,$815
719,2016,$300
720,2012,"$1,420"
720,2013,$30
720,2014,$515
720,2015,$500
721,2016,$455
722,2012,"$1,250"
723,2012,"$3,185"
723,2013,$50
723,2014,$500
723,2015,$644
724,2013,$600
724,2014,$595
724,2016,"$1,500"
725,2013,$360
726,2013,$500
726,2014,$1
726,2015,$110
727,2014,$240
727,2015,$100
727,2016,$200
729,2012,$460
729,2016,"$1,940"
730,2012,$500
731,2012,$15
731,2015,$25
731,2016,"$1,935"
732,2012,$120
733,2012,"$32,113"
734,2013,"$10,000"
734,2014,"$5,893"
734,2015,"$35,000"
734,2016,"$10,000"
735,2013,"$24,290"
735,2015,"$35,000"
735,2016,"$7,113"
736,2012,$20
736,2013,$99
736,2015,$85
736,2016,$25
737,2013,$25
738,2013,$100
738,2016,$367
740,2015,$50
741,2012,$450
742,2012,$25
742,2015,$301
742,2016,"$1,000"
743,2015,"$1,089"
743,2016,$25
744,2012,$100
745,2012,"$7,550"
746,2012,$101
746,2014,$100
746,2016,$200
748,2014,$220
748,2015,$200
749,2012,$201
750,2012,$60
751,2012,"$3,054"
751,2014,$65
751,2016,$100
752,2012,"$1,500"
752,2013,"$1,050"
752,2014,$211
753,2012,$339
753,2013,"$1,700"
753,2016,$250
755,2014,$120
756,2012,"$3,009"
756,2014,$50
756,2015,"$7,640"
756,2016,$25
758,2014,$50
759,2012,$100
759,2013,$5
759,2014,$115
759,2015,$632
759,2016,$100
760,2014,$300
760,2015,$100
761,2012,$80
763,2014,$51
763,2015,$100
763,2016,$125
764,2012,$45
764,2013,$25
764,2015,$20
764,2016,$180
765,2013,$200
765,2015,$50
766,2014,$50
766,2016,$125
767,2012,$201
767,2013,$50
767,2015,"$7,580"
768,2012,$45
769,2015,$1
770,2012,$25
771,2012,$100
771,2014,"$7,666"
771,2015,$555
771,2016,$150
773,2014,$100
773,2015,$100
773,2016,$25
775,2013,$100
775,2016,$200
777,2012,"$1,189"
777,2013,$389
778,2012,$165
778,2016,$50
779,2012,$25
779,2016,$25
781,2016,$25
782,2014,$25
782,2015,$20
783,2015,$61
784,2014,$26
784,2016,$60
785,2012,$15
786,2013,$126
786,2015,$2
787,2014,$26
787,2015,$1
788,2014,$800
788,2015,$25
791,2012,$71
791,2013,$1
792,2012,"$12,150"
792,2013,"$7,800"
793,2014,$550
793,2015,$203
795,2013,$1
795,2014,$50
795,2016,$1
798,2013,$100
798,2014,$100
799,2013,$202
799,2014,$100
800,2012,$1
801,2014,$302
801,2016,$1
802,2016,$206
803,2014,$101
803,2016,$1
804,2012,$300
804,2015,$120
805,2013,$300
807,2013,$250
807,2016,$200
808,2014,$1
